valid_time,u10,v10,t2m,tp,latitude,longitude
2020-01-01 00:00:00,-1.420044,-2.7138214,296.23346,0.0,10.75,106.25
2020-01-01 01:00:00,-1.7868042,-2.7693787,297.98633,0.0,10.75,106.25
2020-01-01 02:00:00,-2.4138641,-2.8013,301.89752,0.0,10.75,106.25
2020-01-01 03:00:00,-2.574707,-2.3506775,302.15576,0.0,10.75,106.25
2020-01-01 04:00:00,-2.3243103,-1.9830627,303.06354,0.0,10.75,106.25
2020-01-01 05:00:00,-2.1797333,-1.8712006,305.74414,0.0,10.75,106.25
2020-01-01 06:00:00,-2.1888275,-1.7493744,306.0951,0.0,10.75,106.25
2020-01-01 07:00:00,-2.2795105,-1.5258026,306.0431,0.0,10.75,106.25
2020-01-01 08:00:00,-2.3847046,-1.4584656,306.20325,0.0,10.75,106.25
2020-01-01 09:00:00,-2.4753723,-1.4767151,305.61963,0.0,10.75,106.25
2020-01-01 10:00:00,-0.8777466,-0.8514252,303.2741,0.0,10.75,106.25
2020-01-01 11:00:00,-1.1698303,-0.07128906,303.54816,0.0,10.75,106.25
2020-01-01 12:00:00,-0.56455994,1.6202087,301.08157,0.0,10.75,106.25
2020-01-01 13:00:00,-0.42773438,1.7550659,301.0016,0.0,10.75,106.25
2020-01-01 14:00:00,-0.42318726,1.4578247,299.99316,0.0,10.75,106.25
2020-01-01 15:00:00,-0.67378235,0.9481354,299.2036,0.0,10.75,106.25
2020-01-01 16:00:00,-0.68504333,-0.5654907,299.61017,0.0,10.75,106.25
2020-01-01 17:00:00,-0.26123047,-1.256073,297.9671,0.0,10.75,106.25
2020-01-01 18:00:00,-0.10884094,-1.6202698,297.91467,0.0,10.75,106.25
2020-01-01 19:00:00,-0.11161804,-2.1694183,297.86926,0.0,10.75,106.25
2020-01-01 20:00:00,-0.35458374,-2.5692291,296.87848,0.0,10.75,106.25
2020-01-01 21:00:00,-0.80104065,-2.6201782,297.20123,0.0,10.75,106.25
2020-01-01 22:00:00,-1.2719879,-2.0903625,296.33264,0.0,10.75,106.25
2020-01-01 23:00:00,-1.4107208,-2.026596,296.14096,0.0,10.75,106.25
2020-01-02 00:00:00,-1.7602539,-2.361908,296.51352,0.0,10.75,106.25
2020-01-02 01:00:00,-2.059723,-2.2896423,297.54407,0.0,10.75,106.25
2020-01-02 02:00:00,-2.1173859,-2.0549011,301.64648,0.0,10.75,106.25
2020-01-02 03:00:00,-1.785553,-1.5664062,302.97913,0.0,10.75,106.25
2020-01-02 04:00:00,-1.4548645,-1.0441742,303.76154,0.0,10.75,106.25
2020-01-02 05:00:00,-1.5428162,-0.71435547,304.5537,0.0,10.75,106.25
2020-01-02 06:00:00,-2.4592133,-0.8309784,306.76938,0.0,10.75,106.25
2020-01-02 07:00:00,-3.2993927,-1.189331,306.10327,0.0,10.75,106.25
2020-01-02 08:00:00,-2.7785797,-1.5195007,306.4602,0.0,10.75,106.25
2020-01-02 09:00:00,-1.4581757,-1.6883392,305.86627,0.0,10.75,106.25
2020-01-02 10:00:00,-0.5390625,-0.88391113,303.82068,0.0,10.75,106.25
2020-01-02 11:00:00,-0.36820984,-0.57855225,302.99506,0.0,10.75,106.25
2020-01-02 12:00:00,0.23345947,0.9503937,301.0822,0.0,10.75,106.25
2020-01-02 13:00:00,0.25169373,1.857605,301.11523,0.0,10.75,106.25
2020-01-02 14:00:00,0.20625305,2.460083,300.1883,0.0,10.75,106.25
2020-01-02 15:00:00,0.17079163,2.1452484,299.52582,0.0,10.75,106.25
2020-01-02 16:00:00,0.06549072,1.4792175,299.2169,0.0,10.75,106.25
2020-01-02 17:00:00,0.38119507,1.2439575,298.0936,0.0,10.75,106.25
2020-01-02 18:00:00,-0.28355408,0.21069336,297.44434,0.0,10.75,106.25
2020-01-02 19:00:00,-0.32850647,-0.7111969,297.5462,0.0,10.75,106.25
2020-01-02 20:00:00,-0.07093811,-1.2574463,297.01505,0.0,10.75,106.25
2020-01-02 21:00:00,-0.14361572,-1.5164642,297.28473,0.0,10.75,106.25
2020-01-02 22:00:00,0.009765625,-1.4360657,296.9769,0.0,10.75,106.25
2020-01-02 23:00:00,-0.4674225,-1.4146271,296.72797,0.0,10.75,106.25
2020-01-03 00:00:00,-1.1554108,-1.3456116,297.1875,0.0,10.75,106.25
2020-01-03 01:00:00,-1.2891998,-1.0237579,298.00928,0.0,10.75,106.25
2020-01-03 02:00:00,-1.3709564,-0.5966797,301.51196,0.0,10.75,106.25
2020-01-03 03:00:00,-0.62420654,-0.21798706,301.57425,0.0,10.75,106.25
2020-01-03 04:00:00,0.067214966,-0.49176025,303.1673,0.0,10.75,106.25
2020-01-03 05:00:00,0.123046875,-0.8408203,304.4759,9.536743e-07,10.75,106.25
2020-01-03 06:00:00,-0.57722473,-1.0257874,304.742,0.0,10.75,106.25
2020-01-03 07:00:00,-1.5807495,-1.153122,305.31915,0.0,10.75,106.25
2020-01-03 08:00:00,-1.6257629,-1.5203857,304.3995,0.0,10.75,106.25
2020-01-03 09:00:00,-1.0044098,-1.7248993,304.98022,0.0,10.75,106.25
2020-01-03 10:00:00,0.20195007,-0.9958954,303.04694,0.0,10.75,106.25
2020-01-03 11:00:00,0.9382477,-0.10646057,301.2066,0.0,10.75,106.25
2020-01-03 12:00:00,0.341156,1.5658569,301.58817,0.0,10.75,106.25
2020-01-03 13:00:00,-0.22979736,2.0265045,300.65778,0.0,10.75,106.25
2020-01-03 14:00:00,-0.4638672,2.5514984,300.23605,0.0,10.75,106.25
2020-01-03 15:00:00,-0.46731567,2.488922,299.87555,0.0,10.75,106.25
2020-01-03 16:00:00,-0.34832764,2.1136627,299.17578,0.0,10.75,106.25
2020-01-03 17:00:00,-0.11505127,1.3901367,298.1886,0.0,10.75,106.25
2020-01-03 18:00:00,0.10519409,1.0481262,297.6706,0.0,10.75,106.25
2020-01-03 19:00:00,0.4948578,1.0276489,297.33655,0.0,10.75,106.25
2020-01-03 20:00:00,0.35958862,0.48554993,297.37613,0.0,10.75,106.25
2020-01-03 21:00:00,-0.20072937,-0.42874146,297.84253,0.0,10.75,106.25
2020-01-03 22:00:00,-0.072250366,-0.44036865,296.56848,0.0,10.75,106.25
2020-01-03 23:00:00,0.08558655,-0.7193451,296.61987,0.0,10.75,106.25
2020-01-04 00:00:00,0.1438446,-1.1133423,296.73743,0.0,10.75,106.25
2020-01-04 01:00:00,0.11784363,-0.9846802,297.34192,0.0,10.75,106.25
2020-01-04 02:00:00,0.16996765,-0.9692688,299.74756,0.0,10.75,106.25
2020-01-04 03:00:00,0.49160767,-0.7140198,300.39792,0.0,10.75,106.25
2020-01-04 04:00:00,0.51872253,-0.62924194,301.34277,2.3841858e-06,10.75,106.25
