scenario,input,target,model,lookback_h,horizon_h,val_RMSE,val_MAE,val_R2,test_RMSE,test_MAE,test_R2
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,6,12,0.3548,0.2383,0.4823,0.2938,0.2273,0.8428
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,6,24,0.3183,0.21,0.5818,0.2813,0.2151,0.8556
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,6,48,0.3348,0.2129,0.5343,0.3305,0.2511,0.7995
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,12,12,0.3006,0.1891,0.6272,0.2691,0.202,0.868
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,12,24,0.2702,0.1726,0.6979,0.2755,0.2079,0.8612
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,12,48,0.3161,0.2014,0.5835,0.3157,0.2397,0.8168
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,24,12,0.2393,0.1576,0.7627,0.2445,0.1853,0.8907
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,24,24,0.2335,0.1548,0.7731,0.2527,0.1889,0.8829
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,24,48,0.2938,0.1936,0.6383,0.3666,0.2631,0.7523
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,48,12,0.2323,0.1582,0.7739,0.2339,0.1753,0.8995
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,48,24,0.2499,0.1736,0.7375,0.2523,0.194,0.8827
SC2,BenLuc+CauNoi+TanAn,BenLuc,RNN,48,48,0.3014,0.2028,0.6154,0.3208,0.2416,0.8093
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,6,12,0.3314,0.2248,0.5481,0.3204,0.2511,0.813
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,6,24,0.3057,0.2022,0.6142,0.3134,0.2411,0.8207
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,6,48,0.3319,0.2136,0.5421,0.3691,0.2787,0.7499
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,12,12,0.3196,0.21,0.5788,0.2895,0.2197,0.8472
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,12,24,0.2732,0.171,0.691,0.2831,0.2082,0.8535
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,12,48,0.3143,0.2001,0.5884,0.4161,0.2836,0.6819
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,24,12,0.2374,0.1622,0.7664,0.2547,0.1918,0.8814
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,24,24,0.2387,0.1595,0.763,0.2867,0.2101,0.8493
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,24,48,0.2864,0.1856,0.6565,0.4265,0.2893,0.6649
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,48,12,0.226,0.1539,0.7861,0.2517,0.1947,0.8836
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,48,24,0.2342,0.1628,0.7694,0.268,0.1987,0.8676
SC2,BenLuc+CauNoi+TanAn,BenLuc,LSTM,48,48,0.2935,0.1973,0.6354,0.4052,0.2709,0.6957
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,6,12,0.3318,0.2186,0.547,0.314,0.2426,0.8204
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,6,24,0.3125,0.1982,0.597,0.3088,0.2361,0.8259
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,6,48,0.3605,0.2465,0.4598,0.4025,0.307,0.7026
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,12,12,0.3107,0.1964,0.6017,0.2808,0.2104,0.8562
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,12,24,0.2711,0.1735,0.6959,0.2845,0.219,0.852
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,12,48,0.3109,0.1985,0.5974,0.3573,0.2633,0.7654
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,24,12,0.2339,0.1579,0.7731,0.2488,0.1882,0.8868
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,24,24,0.2376,0.1539,0.7652,0.2728,0.1993,0.8635
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,24,48,0.2976,0.1934,0.629,0.3551,0.2626,0.7677
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,48,12,0.2484,0.1661,0.7417,0.2531,0.1901,0.8822
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,48,24,0.2365,0.1592,0.7649,0.2711,0.2004,0.8646
SC2,BenLuc+CauNoi+TanAn,BenLuc,GRU,48,48,0.3104,0.2009,0.5922,0.3509,0.2567,0.7719
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,6,12,0.3346,0.2188,0.5396,0.3314,0.2536,0.8
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,6,24,0.3094,0.2015,0.605,0.3159,0.2436,0.8178
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,6,48,0.3435,0.2198,0.5096,0.4021,0.2966,0.7032
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,12,12,0.3209,0.205,0.5753,0.2955,0.2206,0.8408
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,12,24,0.2835,0.1833,0.6674,0.2988,0.2204,0.8368
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,12,48,0.319,0.2064,0.576,0.3861,0.2766,0.726
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,24,12,0.259,0.1732,0.7218,0.2667,0.2003,0.87
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,24,24,0.2544,0.1674,0.7307,0.2792,0.207,0.8571
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,24,48,0.3027,0.1946,0.6162,0.4356,0.2913,0.6504
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,48,12,0.2687,0.1827,0.6976,0.2777,0.2027,0.8583
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,48,24,0.2496,0.1653,0.738,0.2814,0.2082,0.8541
SC2,BenLuc+CauNoi+TanAn,BenLuc,CNN_LSTM,48,48,0.3165,0.2091,0.5759,0.424,0.2875,0.6668
