scenario,input,target,model,lookback_h,horizon_h,val_RMSE,val_MAE,val_R2,test_RMSE,test_MAE,test_R2
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,6,12,0.3481,0.2214,0.5014,0.2971,0.2225,0.8393
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,6,24,0.3167,0.1986,0.5858,0.2897,0.2168,0.8468
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,6,48,0.335,0.2127,0.5336,0.3292,0.2486,0.8012
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,12,12,0.3142,0.1959,0.5927,0.268,0.1969,0.869
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,12,24,0.2681,0.1637,0.7024,0.255,0.1891,0.8811
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,12,48,0.3073,0.1943,0.6065,0.3212,0.242,0.8104
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,24,12,0.2014,0.1311,0.8318,0.2171,0.1609,0.9139
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,24,24,0.2071,0.1323,0.8215,0.2319,0.1716,0.9015
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,24,48,0.2648,0.1659,0.7063,0.3892,0.2643,0.7209
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,48,12,0.193,0.1296,0.8439,0.2095,0.1547,0.9193
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,48,24,0.2018,0.1265,0.8289,0.2247,0.1634,0.9069
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,RNN,48,48,0.2546,0.1587,0.7257,0.3196,0.2297,0.8107
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,6,12,0.3524,0.2225,0.4892,0.307,0.2329,0.8283
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,6,24,0.3206,0.1978,0.5757,0.298,0.2234,0.8379
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,6,48,0.3397,0.2125,0.5206,0.3725,0.2768,0.7453
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,12,12,0.3369,0.2127,0.5319,0.2786,0.2076,0.8585
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,12,24,0.2906,0.1778,0.6505,0.2709,0.204,0.8659
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,12,48,0.3243,0.2008,0.5617,0.3903,0.2843,0.7201
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,24,12,0.2323,0.1499,0.7764,0.2336,0.1764,0.9002
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,24,24,0.2374,0.1418,0.7656,0.2504,0.1828,0.8851
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,24,48,0.2796,0.1732,0.6725,0.3854,0.2719,0.7263
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,48,12,0.2133,0.1368,0.8095,0.2205,0.1611,0.9107
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,48,24,0.2201,0.1393,0.7963,0.2642,0.1845,0.8714
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,LSTM,48,48,0.275,0.1734,0.6799,0.3297,0.2396,0.7986
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,GRU,6,12,0.3373,0.2144,0.5319,0.3204,0.2449,0.813
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,GRU,6,24,0.317,0.1986,0.5851,0.2993,0.2292,0.8365
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,GRU,6,48,0.3498,0.2269,0.4915,0.3583,0.2762,0.7644
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,GRU,12,12,0.3288,0.2008,0.5541,0.2756,0.2047,0.8615
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,GRU,12,24,0.2794,0.1686,0.6768,0.266,0.1993,0.8706
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,GRU,12,48,0.3207,0.1967,0.5716,0.3398,0.2534,0.7878
SC3_salonly,BenLuc+CauNoi+TanAn (salinity only),BenLuc,GRU,24,12,0.2178,0.1384,0.8034,0.235,0.173,0.8991
