scenario,input,target,model,lookback_h,horizon_h,val_RMSE,val_MAE,val_R2,test_RMSE,test_MAE,test_R2
SC2,BenLuc+CauNoi,BenLuc,RNN,12,4,0.27,0.1861,0.7001,0.2232,0.1746,0.9093
SC2,BenLuc+CauNoi,BenLuc,RNN,12,8,0.3377,0.2235,0.5301,0.2754,0.2143,0.8618
SC2,BenLuc+CauNoi,BenLuc,RNN,12,12,0.3428,0.2287,0.5153,0.273,0.2091,0.8641
SC2,BenLuc+CauNoi,BenLuc,RNN,24,4,0.2053,0.1414,0.8257,0.1898,0.1465,0.9342
SC2,BenLuc+CauNoi,BenLuc,RNN,24,8,0.2299,0.1564,0.7811,0.2155,0.1658,0.9152
SC2,BenLuc+CauNoi,BenLuc,RNN,24,12,0.2357,0.1629,0.7697,0.2259,0.1743,0.9067
SC2,BenLuc+CauNoi,BenLuc,RNN,48,4,0.1982,0.1378,0.836,0.1921,0.1464,0.9323
SC2,BenLuc+CauNoi,BenLuc,RNN,48,8,0.2244,0.1579,0.7894,0.2078,0.1588,0.9207
SC2,BenLuc+CauNoi,BenLuc,RNN,48,12,0.2365,0.166,0.7658,0.2173,0.1658,0.9132
SC2,BenLuc+CauNoi,BenLuc,LSTM,12,4,0.2462,0.1606,0.7507,0.2154,0.1664,0.9156
SC2,BenLuc+CauNoi,BenLuc,LSTM,12,8,0.3088,0.195,0.6072,0.2481,0.188,0.8878
SC2,BenLuc+CauNoi,BenLuc,LSTM,12,12,0.311,0.2002,0.601,0.257,0.1959,0.8796
SC2,BenLuc+CauNoi,BenLuc,LSTM,24,4,0.1835,0.1196,0.8608,0.1813,0.1371,0.94
SC2,BenLuc+CauNoi,BenLuc,LSTM,24,8,0.2094,0.1375,0.8184,0.2082,0.1572,0.9208
SC2,BenLuc+CauNoi,BenLuc,LSTM,24,12,0.2172,0.1438,0.8045,0.2297,0.1754,0.9036
SC2,BenLuc+CauNoi,BenLuc,LSTM,48,4,0.1836,0.123,0.8591,0.1867,0.1426,0.9361
SC2,BenLuc+CauNoi,BenLuc,LSTM,48,8,0.214,0.1445,0.8085,0.2282,0.1734,0.9044
SC2,BenLuc+CauNoi,BenLuc,LSTM,48,12,0.2295,0.1605,0.7795,0.2346,0.1783,0.8988
SC2,BenLuc+CauNoi,BenLuc,GRU,12,4,0.2448,0.1612,0.7534,0.2173,0.1665,0.914
SC2,BenLuc+CauNoi,BenLuc,GRU,12,8,0.2979,0.1861,0.6344,0.2554,0.1926,0.8812
SC2,BenLuc+CauNoi,BenLuc,GRU,12,12,0.315,0.1974,0.5908,0.2617,0.1957,0.8751
SC2,BenLuc+CauNoi,BenLuc,GRU,24,4,0.1956,0.1266,0.8418,0.1818,0.1353,0.9397
SC2,BenLuc+CauNoi,BenLuc,GRU,24,8,0.2222,0.1436,0.7956,0.2149,0.163,0.9156
SC2,BenLuc+CauNoi,BenLuc,GRU,24,12,0.2303,0.1523,0.7801,0.219,0.1678,0.9124
SC2,BenLuc+CauNoi,BenLuc,GRU,48,4,0.2007,0.1312,0.8318,0.1864,0.1377,0.9362
SC2,BenLuc+CauNoi,BenLuc,GRU,48,8,0.2188,0.1453,0.7998,0.2107,0.1573,0.9185
SC2,BenLuc+CauNoi,BenLuc,GRU,48,12,0.217,0.1431,0.8028,0.2241,0.1666,0.9077
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,12,4,0.2451,0.1598,0.7528,0.2145,0.1613,0.9162
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,12,8,0.3128,0.2025,0.5968,0.2595,0.1942,0.8773
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,12,12,0.3173,0.1996,0.5846,0.2594,0.1927,0.8773
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,24,4,0.1938,0.1309,0.8447,0.1915,0.1453,0.933
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,24,8,0.2133,0.1437,0.8117,0.2178,0.1632,0.9133
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,24,12,0.2263,0.1462,0.7878,0.2186,0.1619,0.9126
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,48,4,0.195,0.1312,0.8412,0.1797,0.1356,0.9408
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,48,8,0.2205,0.1509,0.7966,0.2061,0.155,0.922
SC2,BenLuc+CauNoi,BenLuc,CNN_LSTM,48,12,0.216,0.1513,0.8045,0.2235,0.1692,0.9082
