model,phase,hidden_size,num_layers,dropout,lr,batch_size,val_r2
RNN,coarse,64,1,0.2,0.001,64,0.854
RNN,coarse,64,2,0.2,0.001,64,0.8679
RNN,coarse,64,3,0.2,0.001,64,0.8612
RNN,coarse,128,1,0.2,0.001,64,0.8639
RNN,coarse,128,2,0.2,0.001,64,0.8699
RNN,coarse,128,3,0.2,0.001,64,0.8658
RNN,coarse,256,1,0.2,0.001,64,0.8711
RNN,coarse,256,2,0.2,0.001,64,0.8701
RNN,coarse,256,3,0.2,0.001,64,0.8724
LSTM,coarse,64,1,0.2,0.001,64,0.7482
LSTM,coarse,64,2,0.2,0.001,64,0.739
LSTM,coarse,64,3,0.2,0.001,64,0.6851
LSTM,coarse,128,1,0.2,0.001,64,0.7957
LSTM,coarse,128,2,0.2,0.001,64,0.7773
LSTM,coarse,128,3,0.2,0.001,64,0.7623
LSTM,coarse,256,1,0.2,0.001,64,0.8234
LSTM,coarse,256,2,0.2,0.001,64,0.8268
LSTM,coarse,256,3,0.2,0.001,64,0.8243
GRU,coarse,64,1,0.2,0.001,64,0.8336
GRU,coarse,64,2,0.2,0.001,64,0.8059
GRU,coarse,64,3,0.2,0.001,64,0.7533
GRU,coarse,128,1,0.2,0.001,64,0.8272
GRU,coarse,128,2,0.2,0.001,64,0.8344
GRU,coarse,128,3,0.2,0.001,64,0.8008
GRU,coarse,256,1,0.2,0.001,64,0.8209
GRU,coarse,256,2,0.2,0.001,64,0.8188
GRU,coarse,256,3,0.2,0.001,64,0.8183
CNN_LSTM,coarse,64,1,0.2,0.001,64,0.8081
CNN_LSTM,coarse,64,2,0.2,0.001,64,0.7952
CNN_LSTM,coarse,64,3,0.2,0.001,64,0.6937
CNN_LSTM,coarse,128,1,0.2,0.001,64,0.796
CNN_LSTM,coarse,128,2,0.2,0.001,64,0.784
CNN_LSTM,coarse,128,3,0.2,0.001,64,0.7841
CNN_LSTM,coarse,256,1,0.2,0.001,64,0.7982
CNN_LSTM,coarse,256,2,0.2,0.001,64,0.8013
CNN_LSTM,coarse,256,3,0.2,0.001,64,0.8048
